text,label,language,predicted,correct
@user keep standing your ground. interview represents #fakenews &amp; blatant misrepresentation of valid statementâ¦,1,en,0,False
@user #treasonoustrump #trumpleaks trump #misogynisttrump  frnds @user and now this,1,en,0,False
why does this get so low key of a play when trump's foolish request to change judges got wall to wall coverage?,1,en,0,False
"the left don't know how to do anything right, including insulting.  #leftist  #snowflake #happyholidaysâ¦",1,en,0,False
"@user hope to see none of you @user inauguration wait, i won't be watching the  #idiot anyway #mrminority #boycott",1,en,0,False
if you didn't like  or #hitler you're definitely not going to like #traitor. #trump,1,en,0,False
@user #apparently #the #only #thing #you #dont #hate #your #asian #parents for is #instilling #massive #amounts #of  in u.,1,en,0,False
i've no problem with #universities that teach against . but it's wrong to teach that all #whites are !,1,en,0,False
listening to sam cooke in this ridiculously packed pavillion's to help keep me calm #breathe #procrastinate #shitshow,1,en,0,False
@user hidden  in #america is as rampant as blatant racism.  @user @user @user @user,1,en,0,False
#hamzayusuf apologists be like ... #ris  #jetlagged @ doubletree by hilton londonâ¦,1,en,0,False
trump #corruptgop @user @user history can not be erased with your money and powerâ¦,1,en,0,False
@user council staff have been instructed by the anc to go slow and make the da look bad. this was exposed a few weeks ago.,1,en,0,False
why are white people expats when the rest are immigrants?  ?,1,en,0,False
@user #allahsoil american taxpayers have also lost their homes by the millions   â¦ #2016in4wordsâ¦,1,en,0,False
"@user @user sad that there is so much hatred towards jews in eu &amp; xians in me. remember xians of kenya, nigeriaâ¦",1,en,0,False
@user the real jeff sessions.   #neverump #swampmonster  #,1,en,0,False
@user âºwhy is it illegal to show #topless photos of women but legal to write  comments? #stopracism #facebook,1,en,0,False
@user #allahsoil we should never equate culture with exclusive geographic boundaries   â¦  â¦,1,en,0,False
this diagram explains trump's response to orlando   @user  #rip #theresistance #resistance #resist  #maga,1,en,0,False
